Name,2020 Population,code,region_code,province_code,municipality_code,barangay_code
Binacag,953,2.0,10,102,10,2.0
"Bgy. No. 42, Apaya",953,1.0,10,102,10,1.0
"Bgy. No. 36, Araniw",958,2.0,10,102,10,2.0
"Bgy. No. 56-A, Bacsil North",893,3.0,10,102,10,3.0
"Bgy. No. 56-B, Bacsil South",1346,4.0,10,102,10,4.0
"Bgy. No. 41, Balacad",1595,5.0,10,102,10,5.0
"Bgy. No. 40, Balatong",2674,6.0,10,102,10,6.0
"Bgy. No. 55-A, Barit-Pandan",2311,7.0,10,102,10,7.0
"Bgy. No. 47, Bengcag",1916,8.0,10,102,10,8.0
"Bgy. No. 50, Buttong",2764,9.0,10,102,10,9.0
"Bgy. No. 60-A, Caaoacan",1331,0.0,10,102,10,0.0
"Bry. No. 48-A, Cabungaan North",2058,1.0,10,102,10,1.0
"Bgy. No. 48-B, Cabungaan South",1296,2.0,10,102,10,2.0
"Bgy. No. 37, Calayab",2103,3.0,10,102,10,3.0
"Bgy. No. 54-B, Camangaan",1006,4.0,10,102,10,4.0
"Bgy. No. 58, Casili",993,5.0,10,102,10,5.0
"Bgy. No. 61, Cataban",766,6.0,10,102,10,6.0
"Bgy. No. 43, Cavit",1140,7.0,10,102,10,7.0
"Bgy. No. 49-A, Darayday",960,9.0,10,102,10,9.0
"Bgy. No. 59-B, Dibua North",881,0.0,10,102,10,0.0
"Bgy. No. 59-A, Dibua South",1105,1.0,10,102,10,1.0
"Bgy. No. 34-B, Gabu Norte East",1321,2.0,10,102,10,2.0
"Bgy. No. 34-A, Gabu Norte West",581,3.0,10,102,10,3.0
"Bgy. No. 35, Gabu Sur",1815,4.0,10,102,10,4.0
Bgy. No. 32-C La Paz East,1499,6.0,10,102,10,6.0
"Bgy. No. 33-B, La Paz Proper",1127,7.0,10,102,10,7.0
"Bgy. No. 32-B, La Paz West",1099,8.0,10,102,10,8.0
"Bgy. No. 54-A, Lagui-Sail",2367,9.0,10,102,10,9.0
"Bgy. No. 32-A, La Paz East",1395,0.0,10,102,10,0.0
"Bgy. No. 33-A, La Paz Proper",1195,1.0,10,102,10,1.0
"Bgy. No. 52-B, Lataag",873,2.0,10,102,10,2.0
"Bgy. No. 60-B, Madiladig",1653,3.0,10,102,10,3.0
"Bgy. No. 38-A, Mangato East",1174,4.0,10,102,10,4.0
"Bgy. No. 38-B, Mangato West",1226,5.0,10,102,10,5.0
"Bgy. No. 62-A, Navotas North",854,6.0,10,102,10,6.0
"Bgy. No. 62-B, Navotas South",1021,7.0,10,102,10,7.0
"Bgy. No. 46, Nalbo",2484,8.0,10,102,10,8.0
"Bgy. No. 51-A, Nangalisan East",1713,9.0,10,102,10,9.0
"Bgy. No. 51-B, Nangalisan West",785,0.0,10,102,10,0.0
