population,name,code,region_code,province_code,municipality_code
993,"Bgy. No. 58, Casili",15,10,102,10
766,"Bgy. No. 61, Cataban",16,10,102,10
1140,"Bgy. No. 43, Cavit",17,10,102,10
960,"Bgy. No. 49-A, Darayday",19,10,102,10
881,"Bgy. No. 59-B, Dibua North",20,10,102,10
1105,"Bgy. No. 59-A, Dibua South",21,10,102,10
1321,"Bgy. No. 34-B, Gabu Norte East",22,10,102,10
581,"Bgy. No. 34-A, Gabu Norte West",23,10,102,10
1815,"Bgy. No. 35, Gabu Sur",24,10,102,10
1499,Bgy. No. 32-C La Paz East,26,10,102,10
1127,"Bgy. No. 33-B, La Paz Proper",27,10,102,10
1099,"Bgy. No. 32-B, La Paz West",28,10,102,10
2367,"Bgy. No. 54-A, Lagui-Sail",29,10,102,10
1395,"Bgy. No. 32-A, La Paz East",30,10,102,10
1195,"Bgy. No. 33-A, La Paz Proper",31,10,102,10
873,"Bgy. No. 52-B, Lataag",32,10,102,10
1653,"Bgy. No. 60-B, Madiladig",33,10,102,10
1174,"Bgy. No. 38-A, Mangato East",34,10,102,10
1226,"Bgy. No. 38-B, Mangato West",35,10,102,10
854,"Bgy. No. 62-A, Navotas North",36,10,102,10
1021,"Bgy. No. 62-B, Navotas South",37,10,102,10
2484,"Bgy. No. 46, Nalbo",38,10,102,10
1713,"Bgy. No. 51-A, Nangalisan East",39,10,102,10
785,"Bgy. No. 51-B, Nangalisan West",40,10,102,10
1074,"Bgy. No. 24, Nstra. Sra. De Consolacion ",41,10,102,10
913,"Bgy. No. 7-A, Nstra. Sra. De Natividad ",42,10,102,10
827,"Bgy. No. 7-B, Nstra. Sra. De Natividad ",43,10,102,10
1660,"Bgy. No. 27, Nstra. Sra. De Soledad ",44,10,102,10
1460,"Bgy. No. 13, Nstra. Sra. De Visitacion ",45,10,102,10
1011,"Bgy. No. 3, Nstra. Sra. Del Rosario ",46,10,102,10
1960,"Bgy. No. 57, Pila",47,10,102,10
1631,"Bgy. No. 49-B, Raraburan",48,10,102,10
1678,"Bgy. No. 53, Rioeng",49,10,102,10
2626,"Bgy. No. 55-B, Salet-Bulangon",50,10,102,10
1267,"Bgy. No. 6, San Agustin ",53,10,102,10
1063,"Bgy. No. 22, San Andres ",54,10,102,10
1549,"Bgy. No. 28, San Bernardo ",55,10,102,10
719,"Bgy. No. 17, San Francisco ",56,10,102,10
1190,"Bgy. No. 4, San Guillermo ",57,10,102,10
1039,"Bgy. No. 15, San Guillermo ",58,10,102,10
