name,population,code,region_code,province_code,city_code
San Lorenzo,930,014,01,028,21
San Manuel,878,015,01,028,21
San Marcos,1403,016,01,028,21
San Nicolas,1747,017,01,028,21
San Pedro,933,018,01,028,21
San Roque,898,019,01,028,21
San Vicente ,933,020,01,028,21
Santa Barbara ,569,021,01,028,21
Santa Magdalena,807,022,01,028,21
Santa Rosa,973,023,01,028,21
Santo Santiago,775,024,01,028,21
Santo Tomas,917,025,01,028,21
Aguitap,904,001,01,028,22
Bagbag,671,002,01,028,22
Bagbago,1172,003,01,028,22
Barcelona,1405,004,01,028,22
Bubuos,842,005,01,028,22
Capurictan,1154,006,01,028,22
Catangraran,1399,007,01,028,22
Darasdas,1480,008,01,028,22
Juan ,2402,009,01,028,22
Laureta ,1449,010,01,028,22
Lipay,354,011,01,028,22
Maananteng,1294,012,01,028,22
Manalpac,2130,013,01,028,22
Mariquet,1263,014,01,028,22
Nagpatpatan,710,015,01,028,22
Nalasin,735,016,01,028,22
Puttao,1301,017,01,028,22
San Juan,564,018,01,028,22
San Julian,279,019,01,028,22
Santa Ana,1283,020,01,028,22
Santiago,964,021,01,028,22
Talugtog,1096,022,01,028,22
Abkir,1276,001,01,028,23
Alsem,560,003,01,028,23
Bago,394,005,01,028,23
Bulbulala,1331,010,01,028,23
Cabangaran,612,011,01,028,23
Cabayo,559,012,01,028,23
Cabisocolan,795,013,01,028,23
Canaam,795,014,01,028,23
Columbia,821,015,01,028,23
Dagupan,619,016,01,028,23
Pedro F. Alviar,923,017,01,028,23
Dipilat,1211,019,01,028,23
Esperanza,389,022,01,028,23
Ester,1551,023,01,028,23
Isic Isic,1788,024,01,028,23
Lubnac,1889,027,01,028,23
Mabanbanag,676,028,01,028,23
Alejo Malasig,1230,030,01,028,23
Manarang,667,031,01,028,23
Margaay,813,033,01,028,23
Namoroc,832,035,01,028,23
Malampa,780,038,01,028,23
Parparoroc,1365,039,01,028,23
Parut,1433,040,01,028,23
Salsalamagui,1181,047,01,028,23
San Jose,839,049,01,028,23
San Nicolas ,1126,050,01,028,23
San Pedro ,901,051,01,028,23
San Ramon ,1375,052,01,028,23
San Roque ,1069,053,01,028,23
Santa Maria ,1036,054,01,028,23
Tamdagan,1351,056,01,028,23
Visaya,1152,058,01,028,23
Alilem Daya ,1684,001,01,029,01
Amilongan,624,002,01,029,01
Anaao,871,003,01,029,01
Apang,455,004,01,029,01
Apaya,598,005,01,029,01
Batbato,566,006,01,029,01
Daddaay,700,010,01,029,01
Dalawa,1421,011,01,029,01
Kiat,442,013,01,029,01
Bagbagotot,427,001,01,029,02
Banbanaal,644,002,01,029,02
Bisangol,196,004,01,029,02
Cadanglaan,363,005,01,029,02
Casilagan Norte,586,006,01,029,02
Casilagan Sur,439,007,01,029,02
Elefante,618,008,01,029,02
Guardia,446,009,01,029,02
Lintic,1328,010,01,029,02
Lopez,435,011,01,029,02
Montero,114,012,01,029,02
Naguimba,1035,013,01,029,02
Pila,202,014,01,029,02
Poblacion,1098,015,01,029,02
Aggay,764,001,01,029,03
An-annam,1405,002,01,029,03
Balaleng,3016,003,01,029,03
Banaoang,451,004,01,029,03
Bulag,2765,005,01,029,03
Buquig,923,006,01,029,03
Cabalanggan,584,007,01,029,03
Cabaroan,941,008,01,029,03
Cabusligan,785,009,01,029,03
Capangdanan,1005,010,01,029,03
Guimod,1118,011,01,029,03
