10-digit PSGC,Name,Correspondence Code,Geographic Level,2020 Population,Status
102812010.0,"Bgy. No. 60-A, Caaoacan",12812010.0,Bgy,1331,
102812011.0,"Bry. No. 48-A, Cabungaan North",12812011.0,Bgy,2058,
102812012.0,"Bgy. No. 48-B, Cabungaan South",12812012.0,Bgy,1296,
102812013.0,"Bgy. No. 37, Calayab",12812013.0,Bgy,2103,
102812014.0,"Bgy. No. 54-B, Camangaan",12812014.0,Bgy,1006,
102812015.0,"Bgy. No. 58, Casili",12812015.0,Bgy,993,
102812016.0,"Bgy. No. 61, Cataban",12812016.0,Bgy,766,
102812017.0,"Bgy. No. 43, Cavit",12812017.0,Bgy,1140,
102812019.0,"Bgy. No. 49-A, Darayday",12812019.0,Bgy,960,
102812020.0,"Bgy. No. 59-B, Dibua North",12812020.0,Bgy,881,
102812021.0,"Bgy. No. 59-A, Dibua South",12812021.0,Bgy,1105,
102812022.0,"Bgy. No. 34-B, Gabu Norte East",12812022.0,Bgy,1321,
102812023.0,"Bgy. No. 34-A, Gabu Norte West",12812023.0,Bgy,581,
102812024.0,"Bgy. No. 35, Gabu Sur",12812024.0,Bgy,1815,
102812026.0,Bgy. No. 32-C La Paz East,12812026.0,Bgy,1499,
102812027.0,"Bgy. No. 33-B, La Paz Proper",12812027.0,Bgy,1127,
102812028.0,"Bgy. No. 32-B, La Paz West",12812028.0,Bgy,1099,
102812029.0,"Bgy. No. 54-A, Lagui-Sail",12812029.0,Bgy,2367,
102812030.0,"Bgy. No. 32-A, La Paz East",12812030.0,Bgy,1395,
102812031.0,"Bgy. No. 33-A, La Paz Proper",12812031.0,Bgy,1195,
102812032.0,"Bgy. No. 52-B, Lataag",12812032.0,Bgy,873,
102812033.0,"Bgy. No. 60-B, Madiladig",12812033.0,Bgy,1653,
102812034.0,"Bgy. No. 38-A, Mangato East",12812034.0,Bgy,1174,
102812035.0,"Bgy. No. 38-B, Mangato West",12812035.0,Bgy,1226,
102812036.0,"Bgy. No. 62-A, Navotas North",12812036.0,Bgy,854,
102812037.0,"Bgy. No. 62-B, Navotas South",12812037.0,Bgy,1021,
102812038.0,"Bgy. No. 46, Nalbo",12812038.0,Bgy,2484,
102812039.0,"Bgy. No. 51-A, Nangalisan East",12812039.0,Bgy,1713,
102812040.0,"Bgy. No. 51-B, Nangalisan West",12812040.0,Bgy,785,
102812041.0,"Bgy. No. 24, Nstra. Sra. De Consolacion ",12812041.0,Bgy,1074,Pob.
102812042.0,"Bgy. No. 7-A, Nstra. Sra. De Natividad ",12812042.0,Bgy,913,Pob.
102812043.0,"Bgy. No. 7-B, Nstra. Sra. De Natividad ",12812043.0,Bgy,827,Pob.
102812044.0,"Bgy. No. 27, Nstra. Sra. De Soledad ",12812044.0,Bgy,1660,Pob.
102812045.0,"Bgy. No. 13, Nstra. Sra. De Visitacion ",12812045.0,Bgy,1460,Pob.
102812046.0,"Bgy. No. 3, Nstra. Sra. Del Rosario ",12812046.0,Bgy,1011,Pob.
102812047.0,"Bgy. No. 57, Pila",12812047.0,Bgy,1960,
102812048.0,"Bgy. No. 49-B, Raraburan",12812048.0,Bgy,1631,
102812049.0,"Bgy. No. 53, Rioeng",12812049.0,Bgy,1678,
102812050.0,"Bgy. No. 55-B, Salet-Bulangon",12812050.0,Bgy,2626,
102812053.0,"Bgy. No. 6, San Agustin ",12812053.0,Bgy,1267,Pob.
102812054.0,"Bgy. No. 22, San Andres ",12812054.0,Bgy,1063,Pob.
102812055.0,"Bgy. No. 28, San Bernardo ",12812055.0,Bgy,1549,Pob.
102812056.0,"Bgy. No. 17, San Francisco ",12812056.0,Bgy,719,Pob.
102812057.0,"Bgy. No. 4, San Guillermo ",12812057.0,Bgy,1190,Pob.
102812058.0,"Bgy. No. 15, San Guillermo ",12812058.0,Bgy,1039,Pob.
102812059.0,"Bgy. No. 12, San Isidro ",12812059.0,Bgy,1890,Pob.
102812060.0,"Bgy. No. 16, San Jacinto ",12812060.0,Bgy,1026,Pob.
102812061.0,"Bgy. No. 10, San Jose ",12812061.0,Bgy,970,Pob.
102812062.0,"Bgy. No. 1, San Lorenzo ",12812062.0,Bgy,5458,Pob.
102812063.0,"Bgy. No. 26, San Marcelino ",12812063.0,Bgy,856,Pob.
102812064.0,"Bgy. No. 52-A, San Mateo",12812064.0,Bgy,582,
102812065.0,"Bgy. No. 23, San Matias ",12812065.0,Bgy,3014,Pob.
102812066.0,"Bgy. No. 20, San Miguel ",12812066.0,Bgy,955,Pob.
102812067.0,"Bgy. No. 21, San Pedro ",12812067.0,Bgy,1262,Pob.
102812068.0,"Bgy. No. 5, San Pedro ",12812068.0,Bgy,1383,Pob.
102812069.0,"Bry. No. 18, San Quirino ",12812069.0,Bgy,732,Pob.
102812070.0,"Bgy. No. 8, San Vicente ",12812070.0,Bgy,878,Pob.
102812071.0,"Bgy. No. 9, Santa Angela ",12812071.0,Bgy,598,Pob.
102812072.0,"Bgy. No. 11, Santa Balbina ",12812072.0,Bgy,881,Pob.
102812073.0,"Bgy. No. 25, Santa Cayetana ",12812073.0,Bgy,1144,Pob.
102812074.0,"Bgy. No. 2, Santa Joaquina ",12812074.0,Bgy,2501,Pob.
102812075.0,"Bgy. No. 19, Santa Marcela ",12812075.0,Bgy,885,Pob.
102812076.0,"Bgy. No. 30-B, Santa Maria",12812076.0,Bgy,1571,
102812077.0,"Bgy. No. 39, Santa Rosa",12812077.0,Bgy,792,
102812078.0,"Bgy. No. 14, Santo Tomas ",12812078.0,Bgy,1041,Pob.
102812079.0,"Bgy. No. 29, Santo Tomas ",12812079.0,Bgy,1458,Pob.
102812080.0,"Bgy. No. 30-A, Suyo",12812080.0,Bgy,708,
102812081.0,"Bgy. No. 31, Talingaan",12812081.0,Bgy,1626,
102812082.0,"Bgy. No. 45, Tangid",12812082.0,Bgy,1061,
102812083.0,"Bgy. No. 55-C, Vira",12812083.0,Bgy,1460,
102812084.0,"Bgy. No. 44, Zamboanga",12812084.0,Bgy,2021,
102813000.0,Marcos,12813000.0,Mun,18010,
102813001.0,Pacifico,12813001.0,Bgy,1843,
102813003.0,Imelda,12813003.0,Bgy,874,
102813004.0,Elizabeth,12813004.0,Bgy,1307,
102813005.0,Daquioag,12813005.0,Bgy,1768,
102813006.0,Escoda,12813006.0,Bgy,2064,
102813007.0,Ferdinand,12813007.0,Bgy,965,
102813008.0,Fortuna,12813008.0,Bgy,1111,
102813009.0,Lydia ,12813009.0,Bgy,2264,Pob.
102813010.0,Mabuti,12813010.0,Bgy,1121,
102813011.0,Valdez,12813011.0,Bgy,1083,
102813012.0,Tabucbuc,12813012.0,Bgy,1692,
102813013.0,Santiago,12813013.0,Bgy,1510,
102813014.0,Cacafean,12813014.0,Bgy,408,
102814000.0,Nueva Era,12814000.0,Mun,11968,
102814001.0,Acnam,12814001.0,Bgy,767,
102814002.0,Barangobong,12814002.0,Bgy,443,
102814003.0,Barikir,12814003.0,Bgy,681,
102814004.0,Bugayong,12814004.0,Bgy,940,
102814005.0,Cabittauran,12814005.0,Bgy,1075,
102814006.0,Caray,12814006.0,Bgy,824,
102814007.0,Garnaden,12814007.0,Bgy,711,
102814008.0,Naguillan,12814008.0,Bgy,1043,
102814009.0,Poblacion,12814009.0,Bgy,3206,
102814010.0,Santo Niño,12814010.0,Bgy,1184,
102814011.0,Uguis,12814011.0,Bgy,1094,
102815000.0,Pagudpud,12815000.0,Mun,25098,
102815001.0,Aggasi,12815001.0,Bgy,725,
102815003.0,Baduang,12815003.0,Bgy,1131,
102815004.0,Balaoi,12815004.0,Bgy,1980,
